final_loss,stem_length,stem_width,branch_length,branch_width,learning_rate
9.37772,5,1,2,5,0.001
10.249256,5,1,3,1,0.001
9.375525,5,1,3,2,0.001
9.307142,5,1,3,3,0.001
9.226106,5,1,3,4,0.001
8.390793,5,1,3,5,0.001
9.716039,5,1,4,1,0.001
10.10257,5,1,4,2,0.001
9.443125,5,1,4,3,0.001
9.599756,5,1,4,4,0.001
9.010293,5,1,4,5,0.001
9.48114,5,1,5,1,0.001
9.961087,5,1,5,2,0.001
9.243244,5,1,5,3,0.001
9.411672,5,1,5,4,0.001
9.375118,5,1,5,5,0.001
10.493125,5,2,1,1,0.001
9.298098,5,2,1,2,0.001
9.360919,5,2,1,3,0.001
8.036215,5,2,1,4,0.001
8.89347,5,2,1,5,0.001
10.328865,5,2,2,1,0.001
9.391529,5,2,2,2,0.001
9.528403,5,2,2,3,0.001
6.73289,5,2,2,4,0.001
8.206498,5,2,2,5,0.001
9.618429,5,2,3,1,0.001
9.117274,5,2,3,2,0.001
9.381538,5,2,3,3,0.001
9.123776,5,2,3,4,0.001
9.32585,5,2,3,5,0.001
10.548805,5,2,4,1,0.001
9.618471,5,2,4,2,0.001
9.5039835,5,2,4,3,0.001
9.375987,5,2,4,4,0.001
8.587731,5,2,4,5,0.001
10.567837,5,2,5,1,0.001
9.013753,5,2,5,2,0.001
9.173793,5,2,5,3,0.001
5.824002,5,2,5,4,0.001
9.359711,5,2,5,5,0.001
9.005797,5,3,1,1,0.001
9.521672,5,3,1,2,0.001
9.485403,5,3,1,3,0.001
7.293123,5,3,1,4,0.001
9.635388,5,3,1,5,0.001
9.418783,5,3,2,1,0.001
9.548273,5,3,2,2,0.001
8.170876,5,3,2,3,0.001
9.427532,5,3,2,4,0.001
8.6487055,5,3,2,5,0.001
9.67042,5,3,3,1,0.001
9.629417,5,3,3,2,0.001
8.510716,5,3,3,3,0.001
6.4470468,5,3,3,4,0.001
8.720682,5,3,3,5,0.001
10.92845,5,3,4,1,0.001
10.480939,5,3,4,2,0.001
9.301531,5,3,4,3,0.001
8.883107,5,3,4,4,0.001
9.307992,5,3,4,5,0.001
8.528273,5,3,5,1,0.001
9.289402,5,3,5,2,0.001
8.487681,5,3,5,3,0.001
8.760302,5,3,5,4,0.001
9.087158,5,3,5,5,0.001
10.142028,5,4,1,1,0.001
9.91435,5,4,1,2,0.001
9.499972,5,4,1,3,0.001
16.02573,5,4,1,4,0.001
7.0758533,5,4,1,5,0.001
9.918511,5,4,2,1,0.001
10.292281,5,4,2,2,0.001
7.4360504,5,4,2,3,0.001
9.190383,5,4,2,4,0.001
8.738143,5,4,2,5,0.001
10.38151,5,4,3,1,0.001
9.572495,5,4,3,2,0.001
9.263069,5,4,3,3,0.001
5.9966025,5,4,3,4,0.001
8.056584,5,4,3,5,0.001
22.638052,5,4,4,1,0.001
8.74975,5,4,4,2,0.001
8.518851,5,4,4,3,0.001
6.3265915,5,4,4,4,0.001
9.27981,5,4,4,5,0.001
9.163976,5,4,5,1,0.001
9.483617,5,4,5,2,0.001
8.777802,5,4,5,3,0.001
9.369535,5,4,5,4,0.001
5.618359,5,4,5,5,0.001
8.663566,5,5,1,1,0.001
14.357141,5,5,1,2,0.001
5.039971,5,5,1,3,0.001
8.7237425,5,5,1,4,0.001
9.228792,5,5,1,5,0.001
10.499839,5,5,2,1,0.001
7.7228727,5,5,2,2,0.001
7.5082383,5,5,2,3,0.001
4.754158,5,5,2,4,0.001
7.9854727,5,5,2,5,0.001
9.802649,5,5,3,1,0.001
5.776695,5,5,3,2,0.001
9.383989,5,5,3,3,0.001
4.987869,5,5,3,4,0.001
7.2020884,5,5,3,5,0.001
8.851867,5,5,4,1,0.001
9.062887,5,5,4,2,0.001
8.89567,5,5,4,3,0.001
7.935644,5,5,4,4,0.001
8.54718,5,5,4,5,0.001
6.394451,5,5,5,1,0.001
9.72706,5,5,5,2,0.001
8.373961,5,5,5,3,0.001
9.257725,5,5,5,4,0.001
6.047132,5,5,5,5,0.001
